city,lat,lng
"Lima, Peru",-12.0,-77.0
"Manila, Philippines",14.4,121.03
"Warsaw, Poland",52.13,21.0
"Lisbon, Portugal",38.42,-9.1
"San Juan, Puerto Rico",18.28,-66.07
"Doha, Qatar",25.15,51.35
"Seoul, Republic of  Korea",37.31,126.58
"Bucuresti, Romania",44.27,26.1
"Moskva, Russian Federation",55.45,37.35
"Kigali, Rawanda",-1.59,30.04
"Basseterre, Saint Kitts and Nevis",17.17,-62.43
"Castries, Saint Lucia",14.02,-60.58
"Saint-Pierre, Saint Pierre and Miquelon",46.46,-56.12
"Kingstown, Saint Vincent and the Greenadines",13.1,-61.1
"Apia, Samoa",-13.5,-171.5
"San Marino, San Marino",43.55,12.3
"Sao Tome, Sao Tome and Principe",0.1,6.39
"Riyadh, Saudi Arabia",24.41,46.42
"Dakar, Senegal",14.34,-17.29
"Freetown, Sierra Leone",8.3,-13.17
"Bratislava, Slovakia",48.1,17.07
"Ljubljana, Slovenia",46.04,14.33
"Honiara, Solomon Islands",-9.27,159.57
"Mogadishu, Somalia",2.02,45.25
"Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial), South Africa",-25.44,28.12
"Madrid, Spain",40.25,-3.45
"Khartoum, Sudan",15.31,32.35
"Paramaribo, Suriname",5.5,-55.1
"Mbabane (administrative), Swaziland",-26.18,31.06
"Stockholm, Sweden",59.2,18.03
"Bern, Switzerland",46.57,7.28
"Damascus, Syrian Arab Republic",33.3,36.18
"Dushanbe, Tajikistan",38.33,68.48
"Bangkok, Thailand",13.45,100.35
"Lome, Togo",6.09,1.2
"Nuku'alofa, Tonga",-21.1,-174.0
"Tunis, Tunisia",36.5,10.11
"Ankara, Turkey",39.57,32.54
"Ashgabat, Turkmenistan",38.0,57.5
"Funafuti, Tuvalu",-8.31,179.13
"Kampala, Uganda",0.2,32.3
"Kiev (Russia), Ukraine",50.3,30.28
"Abu Dhabi, United Arab Emirates",24.28,54.22
"London, United Kingdom of Great Britain and Northern Ireland",51.36,-0.05
"Dodoma, United  Republic of Tanzania",-6.08,35.45
"Washington DC, United States
        of America",39.91,-77.02
"Charlotte Amalie, United States
        of Virgin Islands",18.21,-64.56
"Montevideo, Uruguay",-34.5,-56.11
"Tashkent, Uzbekistan",41.2,69.1
"Port-Vila, Vanuatu",-17.45,168.18
"Caracas, Venezuela",10.3,-66.55
"Hanoi, Viet Nam",21.05,105.55
"Belgrade, Yugoslavia",44.5,20.37
"Lusaka, Zambia",-15.28,28.16
"Harare, Zimbabwe",-17.43,31.02
